segment,timestamp_ms,latitude,longitude,altitude,speed,heading,fix_quality,satellites,hdop
0,1774568555839,-33.27527923,138.59093963,419.63,0.023,26.70,GPS,30,0.5199999809265137
0,1774568556857,-33.27527653,138.59093973,419.63,0.174,14.50,GPS,30,0.5
0,1774568557834,-33.27527210,138.59093998,419.62,0.359,14.50,GPS,30,0.5899999737739563
0,1774568558983,-33.27526555,138.59094008,419.63,0.540,14.50,GPS,31,0.5099999904632568
0,1774568559837,-33.27525498,138.59093998,419.64,0.832,14.50,GPS,31,0.5400000214576721
0,1774568560862,-33.27523750,138.59093987,419.64,1.511,359.99,GPS,31,0.5299999713897705
0,1774568561850,-33.27521155,138.59093933,419.66,2.404,1.52,GPS,31,0.5199999809265137
0,1774568562862,-33.27517932,138.59093822,419.60,3.435,359.23,GPS,31,0.5400000214576721
0,1774568563837,-33.27514518,138.59093723,419.41,3.816,359.60,GPS,31,0.5400000214576721
0,1774568564868,-33.27511157,138.59093618,419.27,3.790,359.42,GPS,31,0.5400000214576721
0,1774568565870,-33.27507903,138.59093518,419.14,3.715,359.51,GPS,33,0.5
0,1774568566869,-33.27504705,138.59093343,419.01,3.641,358.71,GPS,33,0.49000000953674316
0,1774568567858,-33.27501502,138.59093202,418.85,3.589,358.58,GPS,33,0.49000000953674316
0,1774568568876,-33.27498440,138.59093133,418.79,3.522,359.21,GPS,37,0.49000000953674316
0,1774568569845,-33.27495350,138.59093075,418.67,3.442,359.76,GPS,37,0.44999998807907104
0,1774568570877,-33.27492320,138.59093017,418.58,3.366,359.29,GPS,37,0.4699999988079071
0,1774568571850,-33.27489402,138.59092965,418.63,3.281,359.26,GPS,37,0.41999998688697815
0,1774568572876,-33.27486595,138.59092893,418.53,3.144,358.88,GPS,37,0.44999998807907104
0,1774568573884,-33.27483920,138.59092832,418.43,3.027,358.94,GPS,39,0.46000000834465027
0,1774568574884,-33.27481412,138.59092792,418.40,2.858,359.71,GPS,39,0.4300000071525574
0,1774568575884,-33.27479040,138.59092740,418.32,2.698,358.75,GPS,40,0.44999998807907104
0,1774568576883,-33.27476810,138.59092778,418.17,2.535,359.54,GPS,40,0.4699999988079071
0,1774568577888,-33.27474542,138.59092740,418.21,2.380,3.57,GPS,41,0.4000000059604645
0,1774568578882,-33.27472003,138.59092690,418.16,2.594,357.08,GPS,41,0.44999998807907104
0,1774568579856,-33.27469077,138.59092722,418.26,2.980,0.85,GPS,41,0.4399999976158142
0,1774568580887,-33.27465785,138.59092732,418.12,3.447,0.14,GPS,41,0.44999998807907104
0,1774568581890,-33.27462287,138.59092690,418.05,3.809,0.62,GPS,43,0.41999998688697815
0,1774568582894,-33.27458803,138.59092705,418.04,3.891,358.94,GPS,43,0.41999998688697815
0,1774568583859,-33.27455253,138.59092730,418.04,3.867,2.21,GPS,43,0.4399999976158142
0,1774568584888,-33.27451625,138.59092693,417.98,3.969,359.27,GPS,43,0.4300000071525574
0,1774568585862,-33.27447967,138.59092583,417.98,4.054,1.18,GPS,43,0.4300000071525574
0,1774568586891,-33.27444283,138.59092462,418.01,4.053,357.25,GPS,43,0.41999998688697815
0,1774568587858,-33.27440593,138.59092323,418.00,4.065,0.24,GPS,43,0.41999998688697815
0,1774568588897,-33.27436898,138.59092215,417.97,4.054,357.52,GPS,43,0.4099999964237213
0,1774568589860,-33.27433198,138.59092138,417.88,4.072,0.36,GPS,43,0.4399999976158142
0,1774568590890,-33.27429475,138.59092040,417.79,4.096,358.52,GPS,43,0.4099999964237213
0,1774568591866,-33.27425757,138.59091960,417.83,4.126,359.06,GPS,43,0.3700000047683716
0,1774568592903,-33.27422023,138.59091848,418.00,4.136,359.14,GPS,43,0.3799999952316284
0,1774568593897,-33.27418293,138.59091760,417.88,4.118,358.47,GPS,44,0.41999998688697815
0,1774568594905,-33.27414522,138.59091762,418.08,4.125,359.51,GPS,44,0.3499999940395355
0,1774568595868,-33.27410777,138.59091780,417.98,4.122,0.37,GPS,44,0.4000000059604645
0,1774568596903,-33.27407025,138.59091753,418.13,4.121,359.84,GPS,44,0.3499999940395355
0,1774568597877,-33.27403288,138.59091710,418.21,4.111,359.79,GPS,44,0.3499999940395355
0,1774568598901,-33.27399567,138.59091685,418.13,4.111,359.15,GPS,44,0.38999998569488525
0,1774568599865,-33.27395857,138.59091650,418.08,4.106,359.72,GPS,44,0.4099999964237213
0,1774568600902,-33.27392137,138.59091618,418.03,4.104,358.89,GPS,44,0.4300000071525574
0,1774568601867,-33.27388437,138.59091622,417.99,4.112,359.86,GPS,44,0.38999998569488525
0,1774568602899,-33.27384742,138.59091642,417.98,4.091,359.94,GPS,44,0.38999998569488525
0,1774568603870,-33.27381075,138.59091702,418.00,4.064,0.41,GPS,44,0.4000000059604645
0,1774568604901,-33.27377410,138.59091770,418.01,4.049,0.67,GPS,44,0.38999998569488525
